application_id,customer_id,loan_amount,loan_intent,loan_grade,loan_interest_rate,loan_percent_income,loan_status,loan_amount_category,interest_rate_category,income_burden_category,loan_grade_score
A009822,C009822,3000,MEDICAL,A,,0.05,0,small,,low,1
A009823,C009823,23500,PERSONAL,D,15.33,0.4,1,large,high,medium,4
A009824,C009824,9000,EDUCATION,C,,0.25,0,medium,,medium,3
A009825,C009825,9000,EDUCATION,D,15.58,0.3,1,medium,high,medium,4
A009826,C009826,7500,DEBTCONSOLIDATION,C,13.47,0.12,0,medium,medium,low,3
A009827,C009827,4000,DEBTCONSOLIDATION,A,9.63,0.06,0,small,low,low,1
A009828,C009828,15000,VENTURE,B,10.99,0.23,0,medium,medium,medium,2
A009829,C009829,10000,VENTURE,C,13.98,0.15,0,medium,medium,low,3
A009830,C009830,2500,VENTURE,D,14.61,0.04,0,small,medium,low,4
A009831,C009831,3000,PERSONAL,D,18.25,0.05,0,small,high,low,4
A009832,C009832,9000,DEBTCONSOLIDATION,D,15.65,0.3,1,medium,high,medium,4
A009833,C009833,9000,VENTURE,C,10.78,0.25,0,medium,medium,medium,3
A009834,C009834,10500,EDUCATION,A,6.03,0.16,0,medium,low,low,1
A009835,C009835,9000,VENTURE,B,10.39,0.25,0,medium,medium,medium,2
A009836,C009836,3000,PERSONAL,D,16.29,0.05,1,small,high,low,4
A009837,C009837,9000,VENTURE,A,7.14,0.24,0,medium,low,medium,1
A009838,C009838,10000,HOMEIMPROVEMENT,A,6.62,0.15,0,medium,low,low,1
A009839,C009839,9000,MEDICAL,B,9.63,0.24,0,medium,low,medium,2
A009840,C009840,12000,VENTURE,B,12.69,0.18,0,medium,medium,low,2
A009841,C009841,8200,EDUCATION,A,6.62,0.13,0,medium,low,low,1
A009842,C009842,12000,VENTURE,A,7.9,0.18,0,medium,low,low,1
A009843,C009843,6000,PERSONAL,B,10.65,0.09,0,medium,medium,low,2
A009844,C009844,10200,MEDICAL,A,7.9,0.16,0,medium,low,low,1
A009845,C009845,9000,DEBTCONSOLIDATION,A,7.9,0.23,0,medium,low,medium,1
A009846,C009846,9000,MEDICAL,B,10.83,0.23,0,medium,medium,medium,2
A009847,C009847,9000,EDUCATION,A,,0.27,1,medium,,medium,1
A009848,C009848,9000,PERSONAL,B,11.99,0.23,0,medium,medium,medium,2
A009849,C009849,9000,EDUCATION,E,16.0,0.26,1,medium,high,medium,5
A009850,C009850,17000,HOMEIMPROVEMENT,B,9.91,0.26,0,medium,low,medium,2
A009851,C009851,9000,VENTURE,B,11.99,0.23,0,medium,medium,medium,2
A009852,C009852,9000,EDUCATION,B,10.59,0.23,0,medium,medium,medium,2
A009853,C009853,12000,PERSONAL,B,9.91,0.18,0,medium,low,low,2
A009854,C009854,9000,VENTURE,A,7.49,0.23,0,medium,low,medium,1
A009855,C009855,9000,EDUCATION,C,12.61,0.23,0,medium,medium,medium,3
A009856,C009856,9000,MEDICAL,E,17.06,0.26,1,medium,high,medium,5
A009857,C009857,6300,PERSONAL,B,11.71,0.1,0,medium,medium,low,2
A009858,C009858,7200,PERSONAL,A,8.9,0.11,0,medium,low,low,1
A009859,C009859,9000,PERSONAL,C,12.53,0.23,0,medium,medium,medium,3
A009860,C009860,12000,VENTURE,A,7.9,0.18,0,medium,low,low,1
A009861,C009861,12000,PERSONAL,A,7.9,0.18,0,medium,low,low,1
A009862,C009862,6000,EDUCATION,A,6.03,0.09,0,medium,low,low,1
A009863,C009863,9000,HOMEIMPROVEMENT,D,15.99,0.25,1,medium,high,medium,4
A009864,C009864,6600,DEBTCONSOLIDATION,B,10.65,0.1,0,medium,medium,low,2
A009865,C009865,7200,VENTURE,D,17.58,0.11,0,medium,high,low,4
A009866,C009866,5000,DEBTCONSOLIDATION,A,6.03,0.08,1,small,low,low,1
A009867,C009867,5000,EDUCATION,A,7.51,0.08,0,small,low,low,1
A009868,C009868,10000,VENTURE,A,6.03,0.15,0,medium,low,low,1
A009869,C009869,9000,VENTURE,A,8.49,0.21,0,medium,low,medium,1
A009870,C009870,8000,PERSONAL,B,12.69,0.12,0,medium,medium,low,2
A009871,C009871,2200,DEBTCONSOLIDATION,B,12.42,0.03,0,small,medium,low,2
A009872,C009872,9000,DEBTCONSOLIDATION,A,7.51,0.21,0,medium,low,medium,1
A009873,C009873,7425,DEBTCONSOLIDATION,A,6.03,0.11,0,medium,low,low,1
A009874,C009874,9000,EDUCATION,A,8.94,0.25,1,medium,low,medium,1
A009875,C009875,9000,PERSONAL,D,14.96,0.21,0,medium,medium,medium,4
A009876,C009876,9000,MEDICAL,A,6.76,0.21,0,medium,low,medium,1
A009877,C009877,4200,PERSONAL,C,15.27,0.06,0,small,high,low,3
A009878,C009878,8000,VENTURE,D,17.27,0.12,0,medium,high,low,4
A009879,C009879,9000,PERSONAL,C,13.85,0.21,0,medium,medium,medium,3
A009880,C009880,9000,EDUCATION,D,14.54,0.21,0,medium,medium,medium,4
A009881,C009881,7000,MEDICAL,A,7.9,0.11,0,medium,low,low,1
A009882,C009882,9000,EDUCATION,A,6.17,0.21,0,medium,low,medium,1
A009883,C009883,3300,PERSONAL,A,7.51,0.05,0,small,low,low,1
A009884,C009884,9000,DEBTCONSOLIDATION,B,10.99,0.2,0,medium,medium,medium,2
A009885,C009885,9000,MEDICAL,A,7.29,0.2,0,medium,low,medium,1
A009886,C009886,9000,MEDICAL,A,8.94,0.2,0,medium,low,medium,1
A009887,C009887,9000,PERSONAL,B,10.65,0.2,0,medium,medium,medium,2
A009888,C009888,9000,EDUCATION,B,10.65,0.2,0,medium,medium,medium,2
A009889,C009889,10000,EDUCATION,C,12.99,0.15,0,medium,medium,low,3
A009890,C009890,9000,PERSONAL,A,7.9,0.2,0,medium,low,medium,1
A009891,C009891,9000,EDUCATION,A,5.99,0.2,0,medium,low,medium,1
A009892,C009892,9000,MEDICAL,A,8.49,0.2,0,medium,low,medium,1
A009893,C009893,9000,EDUCATION,C,14.26,0.2,0,medium,medium,medium,3
A009894,C009894,12800,EDUCATION,A,5.99,0.2,0,medium,low,medium,1
A009895,C009895,7000,VENTURE,A,8.49,0.11,0,medium,low,low,1
A009896,C009896,4800,HOMEIMPROVEMENT,C,13.49,0.07,0,small,medium,low,3
A009897,C009897,9000,EDUCATION,B,11.48,0.2,0,medium,medium,medium,2
A009898,C009898,8000,MEDICAL,D,15.99,0.14,1,medium,high,low,4
A009899,C009899,9000,DEBTCONSOLIDATION,B,10.39,0.2,0,medium,medium,medium,2
A009900,C009900,9000,PERSONAL,C,14.35,0.2,0,medium,medium,medium,3
A009901,C009901,5000,DEBTCONSOLIDATION,A,5.42,0.08,0,small,low,low,1
A009902,C009902,9000,VENTURE,C,15.23,0.23,1,medium,high,medium,3
A009903,C009903,4000,EDUCATION,B,11.49,0.06,0,small,medium,low,2
A009904,C009904,4400,PERSONAL,D,16.89,0.07,0,small,high,low,4
A009905,C009905,16500,VENTURE,A,7.49,0.25,0,medium,low,medium,1
A009906,C009906,3600,VENTURE,A,7.49,0.06,0,small,low,low,1
A009907,C009907,9000,MEDICAL,A,5.79,0.2,0,medium,low,medium,1
A009908,C009908,9000,PERSONAL,A,7.14,0.2,0,medium,low,medium,1
A009909,C009909,9000,PERSONAL,C,13.22,0.2,0,medium,medium,medium,3
A009910,C009910,9000,PERSONAL,B,9.99,0.19,0,medium,low,low,2
A009911,C009911,9000,MEDICAL,C,,0.19,0,medium,,low,3
A009912,C009912,9000,EDUCATION,B,11.49,0.19,0,medium,medium,low,2
A009913,C009913,9000,DEBTCONSOLIDATION,A,7.51,0.19,0,medium,low,low,1
A009914,C009914,9000,EDUCATION,C,12.53,0.19,0,medium,medium,low,3
A009915,C009915,18000,DEBTCONSOLIDATION,B,9.99,0.28,0,medium,low,medium,2
A009916,C009916,9000,DEBTCONSOLIDATION,A,7.88,0.19,0,medium,low,low,1
A009917,C009917,7000,VENTURE,B,11.49,0.11,0,medium,medium,low,2
A009918,C009918,20500,EDUCATION,A,6.99,0.32,0,large,low,medium,1
A009919,C009919,9000,PERSONAL,A,8.94,0.19,0,medium,low,low,1
A009920,C009920,9000,PERSONAL,C,13.79,0.19,0,medium,medium,low,3
A009921,C009921,9000,PERSONAL,C,14.35,0.18,0,medium,medium,low,3
A009922,C009922,9600,EDUCATION,B,11.99,0.15,0,medium,medium,low,2
A009923,C009923,9000,DEBTCONSOLIDATION,B,12.69,0.18,0,medium,medium,low,2
A009924,C009924,12000,PERSONAL,A,7.49,0.18,0,medium,low,low,1
A009925,C009925,6000,PERSONAL,B,10.99,0.09,0,medium,medium,low,2
A009926,C009926,8000,HOMEIMPROVEMENT,A,6.99,0.12,0,medium,low,low,1
A009927,C009927,4800,EDUCATION,B,9.99,0.07,0,small,low,low,2
A009928,C009928,9000,PERSONAL,B,12.18,0.18,0,medium,medium,low,2
A009929,C009929,9000,EDUCATION,A,6.17,0.18,0,medium,low,low,1
A009930,C009930,9000,HOMEIMPROVEMENT,A,7.66,0.18,0,medium,low,low,1
A009931,C009931,9000,DEBTCONSOLIDATION,A,8.94,0.18,0,medium,low,low,1
A009932,C009932,14000,EDUCATION,A,8.49,0.22,0,medium,low,medium,1
A009933,C009933,2275,DEBTCONSOLIDATION,A,,0.04,0,small,,low,1
A009934,C009934,1200,HOMEIMPROVEMENT,B,10.99,0.02,0,small,medium,low,2
A009935,C009935,8000,MEDICAL,B,10.99,0.12,0,medium,medium,low,2
A009936,C009936,9000,EDUCATION,B,10.99,0.18,0,medium,medium,low,2
A009937,C009937,9000,MEDICAL,A,5.79,0.18,0,medium,low,low,1
A009938,C009938,9000,EDUCATION,D,15.33,0.18,0,medium,high,low,4
A009939,C009939,8500,EDUCATION,C,15.23,0.13,0,medium,high,low,3
A009940,C009940,9000,DEBTCONSOLIDATION,C,13.61,0.18,0,medium,medium,low,3
A009941,C009941,7000,MEDICAL,A,6.99,0.11,0,medium,low,low,1
A009942,C009942,12000,HOMEIMPROVEMENT,B,10.99,0.18,0,medium,medium,low,2
A009943,C009943,9000,EDUCATION,A,8.0,0.17,0,medium,low,low,1
A009944,C009944,9000,VENTURE,B,12.69,0.17,0,medium,medium,low,2
A009945,C009945,8000,EDUCATION,A,5.99,0.12,0,medium,low,low,1
A009946,C009946,9000,MEDICAL,B,10.65,0.17,0,medium,medium,low,2
A009947,C009947,8000,DEBTCONSOLIDATION,A,6.99,0.12,0,medium,low,low,1
A009948,C009948,14400,HOMEIMPROVEMENT,B,9.99,0.22,0,medium,low,medium,2
A009949,C009949,5400,DEBTCONSOLIDATION,A,8.9,0.08,0,medium,low,low,1
A009950,C009950,10000,EDUCATION,A,7.49,0.15,0,medium,low,low,1
A009951,C009951,13600,EDUCATION,D,15.62,0.21,0,medium,high,medium,4
A009952,C009952,9000,EDUCATION,B,11.83,0.17,0,medium,medium,low,2
A009953,C009953,9000,PERSONAL,D,14.11,0.17,0,medium,medium,low,4
A009954,C009954,1525,PERSONAL,A,5.42,0.02,0,small,low,low,1
A009955,C009955,9000,VENTURE,A,7.9,0.17,0,medium,low,low,1
A009956,C009956,9000,DEBTCONSOLIDATION,A,7.49,0.17,0,medium,low,low,1
A009957,C009957,9000,VENTURE,C,12.09,0.17,0,medium,medium,low,3
A009958,C009958,9000,DEBTCONSOLIDATION,B,12.21,0.17,0,medium,medium,low,2
A009959,C009959,7000,DEBTCONSOLIDATION,A,8.49,0.11,0,medium,low,low,1
A009960,C009960,6000,PERSONAL,A,6.99,0.09,0,medium,low,low,1
A009961,C009961,9000,DEBTCONSOLIDATION,C,15.96,0.17,0,medium,high,low,3
A009962,C009962,4000,DEBTCONSOLIDATION,A,5.42,0.06,0,small,low,low,1
A009963,C009963,10000,PERSONAL,B,11.99,0.15,0,medium,medium,low,2
A009964,C009964,11500,HOMEIMPROVEMENT,A,7.49,0.18,0,medium,low,low,1
A009965,C009965,9000,HOMEIMPROVEMENT,D,15.05,0.19,1,medium,high,low,4
A009966,C009966,2000,HOMEIMPROVEMENT,A,5.42,0.03,0,small,low,low,1
A009967,C009967,4900,HOMEIMPROVEMENT,D,15.62,0.08,1,small,high,low,4
A009968,C009968,9000,EDUCATION,B,10.99,0.16,0,medium,medium,low,2
A009969,C009969,20000,DEBTCONSOLIDATION,B,,0.31,0,medium,,medium,2
A009970,C009970,9000,HOMEIMPROVEMENT,B,11.11,0.16,0,medium,medium,low,2
A009971,C009971,5000,HOMEIMPROVEMENT,B,9.99,0.08,1,small,low,low,2
A009972,C009972,5500,HOMEIMPROVEMENT,A,5.79,0.08,0,medium,low,low,1
A009973,C009973,9000,VENTURE,A,,0.16,0,medium,,low,1
A009974,C009974,10000,VENTURE,A,7.29,0.15,0,medium,low,low,1
A009975,C009975,10000,MEDICAL,A,5.79,0.15,0,medium,low,low,1
A009976,C009976,9000,HOMEIMPROVEMENT,C,14.72,0.16,0,medium,medium,low,3
A009977,C009977,10800,PERSONAL,B,10.0,0.17,0,medium,medium,low,2
A009978,C009978,9050,DEBTCONSOLIDATION,A,7.29,0.2,0,medium,low,medium,1
A009979,C009979,9100,VENTURE,D,15.37,0.24,0,medium,high,medium,4
A009980,C009980,9100,VENTURE,D,13.24,0.21,1,medium,medium,medium,4
A009981,C009981,9100,MEDICAL,B,,0.17,0,medium,,low,2
A009982,C009982,9100,DEBTCONSOLIDATION,B,11.49,0.16,0,medium,medium,low,2
A009983,C009983,5000,PERSONAL,A,7.29,0.08,0,small,low,low,1
A009984,C009984,9150,MEDICAL,B,10.59,0.3,0,medium,medium,medium,2
A009985,C009985,9000,EDUCATION,A,7.29,0.14,0,medium,low,low,1
A009986,C009986,9200,PERSONAL,B,9.88,0.4,1,medium,low,medium,2
A009987,C009987,10000,HOMEIMPROVEMENT,A,7.66,0.15,0,medium,low,low,1
A009988,C009988,10000,VENTURE,B,11.11,0.15,0,medium,medium,low,2
A009989,C009989,9200,DEBTCONSOLIDATION,A,7.49,0.32,1,medium,low,medium,1
A009990,C009990,9200,DEBTCONSOLIDATION,A,6.62,0.31,1,medium,low,medium,1
A009991,C009991,6000,VENTURE,A,5.42,0.09,0,medium,low,low,1
A009992,C009992,9200,MEDICAL,A,8.94,0.21,0,medium,low,medium,1
A009993,C009993,9600,PERSONAL,C,14.17,0.15,0,medium,medium,low,3
A009994,C009994,9200,EDUCATION,A,6.92,0.18,0,medium,low,low,1
A009995,C009995,9200,EDUCATION,E,15.68,0.18,0,medium,high,low,5
A009996,C009996,13750,VENTURE,B,9.62,0.21,0,medium,low,medium,2
A009997,C009997,20000,EDUCATION,D,14.09,0.31,0,medium,medium,medium,4
A009998,C009998,7300,VENTURE,B,9.99,0.11,0,medium,low,low,2
A009999,C009999,9200,PERSONAL,C,12.98,0.15,0,medium,medium,low,3
A010000,C010000,9200,MEDICAL,B,11.86,0.14,0,medium,medium,low,2
A010001,C010001,9200,DEBTCONSOLIDATION,A,6.03,0.12,0,medium,low,low,1
A010002,C010002,3000,MEDICAL,B,10.36,0.05,0,small,medium,low,2
A010003,C010003,3600,HOMEIMPROVEMENT,C,12.98,0.06,1,small,medium,low,3
A010004,C010004,25000,MEDICAL,B,9.99,0.42,1,large,low,medium,2
A010005,C010005,9200,MEDICAL,A,6.03,0.11,0,medium,low,low,1
A010006,C010006,9225,EDUCATION,A,5.99,0.15,0,medium,low,low,1
A010007,C010007,12000,VENTURE,A,6.17,0.18,0,medium,low,low,1
A010008,C010008,9250,DEBTCONSOLIDATION,C,12.53,0.71,1,medium,medium,high,3
A010009,C010009,12000,VENTURE,C,12.61,0.18,0,medium,medium,low,3
A010010,C010010,9250,VENTURE,A,6.54,0.39,1,medium,low,medium,1
A010011,C010011,9250,HOMEIMPROVEMENT,A,8.94,0.39,1,medium,low,medium,1
A010012,C010012,9250,EDUCATION,A,8.59,0.37,1,medium,low,medium,1
A010013,C010013,9250,VENTURE,B,10.75,0.37,1,medium,medium,medium,2
A010014,C010014,9250,MEDICAL,A,6.54,0.36,1,medium,low,medium,1
A010015,C010015,5000,MEDICAL,A,5.79,0.08,0,small,low,low,1
A010016,C010016,10000,EDUCATION,C,13.35,0.15,0,medium,medium,low,3
A010017,C010017,2000,MEDICAL,B,9.62,0.03,0,small,low,low,2
A010018,C010018,9000,EDUCATION,A,7.88,0.14,0,medium,low,low,1
A010019,C010019,9250,DEBTCONSOLIDATION,C,13.11,0.34,1,medium,medium,medium,3
A010020,C010020,8400,VENTURE,B,11.86,0.13,0,medium,medium,low,2
A010021,C010021,3500,EDUCATION,A,6.76,0.05,0,small,low,low,1
A010022,C010022,6250,VENTURE,A,6.76,0.1,0,medium,low,low,1
A010023,C010023,9250,MEDICAL,C,12.87,0.34,1,medium,medium,medium,3
A010024,C010024,10000,MEDICAL,C,13.98,0.15,0,medium,medium,low,3
A010025,C010025,10000,MEDICAL,B,10.75,0.15,0,medium,medium,low,2
A010026,C010026,7000,VENTURE,C,14.72,0.11,0,medium,medium,low,3
A010027,C010027,15000,PERSONAL,B,11.12,0.23,0,medium,medium,medium,2
A010028,C010028,9250,VENTURE,C,14.35,0.32,1,medium,medium,medium,3
A010029,C010029,7000,DEBTCONSOLIDATION,C,13.61,0.11,0,medium,medium,low,3
A010030,C010030,9250,DEBTCONSOLIDATION,C,13.57,0.32,1,medium,medium,medium,3
A010031,C010031,13000,DEBTCONSOLIDATION,B,10.38,0.2,0,medium,medium,medium,2
A010032,C010032,13000,PERSONAL,C,14.35,0.2,0,medium,medium,medium,3
A010033,C010033,9250,MEDICAL,D,14.11,0.3,1,medium,medium,medium,4
A010034,C010034,9250,MEDICAL,D,14.46,0.29,1,medium,medium,medium,4
A010035,C010035,9250,PERSONAL,D,16.32,0.25,0,medium,high,medium,4
A010036,C010036,11000,PERSONAL,B,11.49,0.17,0,medium,medium,low,2
A010037,C010037,9250,PERSONAL,B,9.91,0.24,0,medium,low,medium,2
A010038,C010038,14400,VENTURE,A,7.51,0.22,0,medium,low,medium,1
A010039,C010039,5500,EDUCATION,A,7.88,0.08,0,medium,low,low,1
A010040,C010040,9250,EDUCATION,D,16.07,0.23,0,medium,high,medium,4
A010041,C010041,10950,HOMEIMPROVEMENT,A,7.88,0.17,0,medium,low,low,1
A010042,C010042,3800,MEDICAL,B,11.12,0.06,0,small,medium,low,2
A010043,C010043,22000,VENTURE,E,17.19,0.34,0,large,high,medium,5
A010044,C010044,9300,DEBTCONSOLIDATION,A,,0.14,0,medium,,low,1
A010045,C010045,9800,EDUCATION,B,11.49,0.17,1,medium,medium,low,2
A010046,C010046,15000,MEDICAL,B,11.86,0.23,0,medium,medium,medium,2
A010047,C010047,8700,VENTURE,A,7.88,0.13,0,medium,low,low,1
A010048,C010048,10000,EDUCATION,A,7.88,0.15,0,medium,low,low,1
A010049,C010049,9325,MEDICAL,C,10.91,0.13,0,medium,medium,low,3
A010050,C010050,7000,MEDICAL,A,7.14,0.11,0,medium,low,low,1
A010051,C010051,9350,EDUCATION,A,7.49,0.19,0,medium,low,low,1
A010052,C010052,8000,VENTURE,A,7.51,0.12,0,medium,low,low,1
A010053,C010053,9375,PERSONAL,B,11.71,0.31,1,medium,medium,medium,2
A010054,C010054,8100,DEBTCONSOLIDATION,C,13.11,0.12,0,medium,medium,low,3
A010055,C010055,6000,VENTURE,B,,0.09,0,medium,,low,2
A010056,C010056,20000,EDUCATION,B,11.36,0.34,1,medium,medium,medium,2
A010057,C010057,20000,HOMEIMPROVEMENT,C,13.48,0.34,1,medium,medium,medium,3
A010058,C010058,2500,PERSONAL,A,6.39,0.04,0,small,low,low,1
A010059,C010059,9400,EDUCATION,B,9.91,0.21,0,medium,low,medium,2
A010060,C010060,9400,VENTURE,E,16.32,0.21,1,medium,high,medium,5
A010061,C010061,6000,EDUCATION,B,11.36,0.09,0,medium,medium,low,2
A010062,C010062,6000,PERSONAL,B,11.36,0.09,0,medium,medium,low,2
A010063,C010063,3000,DEBTCONSOLIDATION,C,12.73,0.05,0,small,medium,low,3
A010064,C010064,9400,EDUCATION,B,9.99,0.19,0,medium,low,low,2
A010065,C010065,9425,MEDICAL,C,13.49,0.21,0,medium,medium,medium,3
A010066,C010066,4400,DEBTCONSOLIDATION,B,11.36,0.07,0,small,medium,low,2
A010067,C010067,9450,MEDICAL,A,6.62,0.38,1,medium,low,medium,1
A010068,C010068,8000,PERSONAL,A,7.14,0.12,0,medium,low,low,1
A010069,C010069,9450,DEBTCONSOLIDATION,D,16.77,0.36,1,medium,high,medium,4
A010070,C010070,8500,EDUCATION,A,7.51,0.13,0,medium,low,low,1
A010071,C010071,9450,PERSONAL,A,7.66,0.28,1,medium,low,medium,1
A010072,C010072,14000,VENTURE,D,15.31,0.22,0,medium,high,medium,4
A010073,C010073,9450,MEDICAL,D,15.62,0.28,1,medium,high,medium,4
A010074,C010074,9500,VENTURE,A,7.88,0.49,1,medium,low,medium,1
A010075,C010075,7000,MEDICAL,C,13.92,0.11,0,medium,medium,low,3
A010076,C010076,3000,MEDICAL,C,13.92,0.05,0,small,medium,low,3
A010077,C010077,9500,VENTURE,A,8.9,0.47,1,medium,low,medium,1
A010078,C010078,6000,EDUCATION,B,11.48,0.09,0,medium,medium,low,2
A010079,C010079,7500,EDUCATION,A,8.59,0.12,0,medium,low,low,1
A010080,C010080,9500,DEBTCONSOLIDATION,F,19.04,0.41,1,medium,high,medium,6
A010081,C010081,9500,DEBTCONSOLIDATION,D,15.33,0.35,1,medium,high,medium,4
A010082,C010082,9500,MEDICAL,A,5.99,0.34,1,medium,low,medium,1
A010083,C010083,9500,MEDICAL,A,8.94,0.34,1,medium,low,medium,1
A010084,C010084,9500,VENTURE,C,13.92,0.32,1,medium,medium,medium,3
A010085,C010085,9500,PERSONAL,C,13.57,0.3,0,medium,medium,medium,3
A010086,C010086,20000,EDUCATION,B,12.18,0.31,0,medium,medium,medium,2
A010087,C010087,9500,MEDICAL,B,10.99,0.26,0,medium,medium,medium,2
A010088,C010088,10000,MEDICAL,A,8.59,0.15,0,medium,low,low,1
A010089,C010089,9500,VENTURE,C,,0.28,1,medium,,medium,3
A010090,C010090,12000,MEDICAL,E,17.74,0.2,1,medium,high,medium,5
A010091,C010091,12000,MEDICAL,D,,0.2,1,medium,,medium,4
A010092,C010092,17000,VENTURE,A,8.94,0.26,0,medium,low,medium,1
A010093,C010093,9500,EDUCATION,A,7.88,0.23,0,medium,low,medium,1
A010094,C010094,9500,EDUCATION,B,11.26,0.22,0,medium,medium,medium,2
A010095,C010095,9500,MEDICAL,B,,0.21,0,medium,,medium,2
A010096,C010096,9500,EDUCATION,A,6.76,0.2,0,medium,low,medium,1
A010097,C010097,9500,HOMEIMPROVEMENT,D,14.74,0.23,1,medium,medium,medium,4
A010098,C010098,9500,PERSONAL,C,12.87,0.2,0,medium,medium,medium,3
A010099,C010099,15000,HOMEIMPROVEMENT,B,11.48,0.23,0,medium,medium,medium,2
A010100,C010100,5000,VENTURE,D,15.37,0.08,0,small,high,low,4
A010101,C010101,15000,DEBTCONSOLIDATION,D,,0.25,1,medium,,medium,4
A010102,C010102,9500,MEDICAL,C,12.73,0.2,0,medium,medium,medium,3
A010103,C010103,6800,DEBTCONSOLIDATION,C,12.53,0.12,1,medium,medium,low,3
A010104,C010104,1500,VENTURE,A,9.32,0.02,0,small,low,low,1
A010105,C010105,9500,MEDICAL,A,6.99,0.19,0,medium,low,low,1
A010106,C010106,9500,EDUCATION,C,14.79,0.18,0,medium,medium,low,3
A010107,C010107,9250,MEDICAL,B,,0.14,0,medium,,low,2
A010108,C010108,9500,MEDICAL,C,14.65,0.18,0,medium,medium,low,3
A010109,C010109,9500,EDUCATION,D,16.29,0.18,0,medium,high,low,4
A010110,C010110,9500,VENTURE,A,9.63,0.17,0,medium,low,low,1
A010111,C010111,15000,EDUCATION,B,10.95,0.23,0,medium,medium,medium,2
A010112,C010112,7500,PERSONAL,C,13.47,0.12,0,medium,medium,low,3
A010113,C010113,9500,DEBTCONSOLIDATION,A,8.9,0.17,0,medium,low,low,1
A010114,C010114,19750,DEBTCONSOLIDATION,D,14.11,0.33,1,medium,medium,medium,4
A010115,C010115,9500,EDUCATION,A,6.17,0.17,0,medium,low,low,1
A010116,C010116,9500,HOMEIMPROVEMENT,B,12.53,0.17,0,medium,medium,low,2
A010117,C010117,2000,DEBTCONSOLIDATION,A,7.37,0.03,0,small,low,low,1
A010118,C010118,9000,EDUCATION,A,9.63,0.14,0,medium,low,low,1
A010119,C010119,9500,VENTURE,A,7.51,0.16,0,medium,low,low,1
A010120,C010120,9500,DEBTCONSOLIDATION,A,7.14,0.14,0,medium,low,low,1
A010121,C010121,5000,EDUCATION,B,11.89,0.08,0,small,medium,low,2
A010122,C010122,17600,VENTURE,C,12.72,0.27,0,medium,medium,medium,3
A010123,C010123,9500,MEDICAL,D,16.49,0.14,1,medium,high,low,4
A010124,C010124,9500,HOMEIMPROVEMENT,D,15.33,0.14,1,medium,high,low,4
A010125,C010125,6000,EDUCATION,A,9.07,0.09,0,medium,low,low,1
A010126,C010126,9550,PERSONAL,A,7.49,0.14,0,medium,low,low,1
A010127,C010127,7500,PERSONAL,B,10.08,0.12,0,medium,medium,low,2
A010128,C010128,5125,EDUCATION,B,10.71,0.08,0,medium,medium,low,2
A010129,C010129,7000,PERSONAL,C,11.66,0.11,0,medium,medium,low,3
A010130,C010130,9575,DEBTCONSOLIDATION,A,6.62,0.22,0,medium,low,medium,1
A010131,C010131,9600,EDUCATION,A,7.49,0.44,1,medium,low,medium,1
A010132,C010132,9600,EDUCATION,C,13.16,0.44,1,medium,medium,medium,3
A010133,C010133,9600,PERSONAL,B,11.71,0.4,1,medium,medium,medium,2
A010134,C010134,9600,HOMEIMPROVEMENT,C,14.27,0.4,1,medium,medium,medium,3
A010135,C010135,9600,PERSONAL,B,9.99,0.4,1,medium,low,medium,2
A010136,C010136,15000,EDUCATION,E,14.5,0.23,0,medium,medium,medium,5
A010137,C010137,4000,EDUCATION,A,7.75,0.06,0,small,low,low,1
A010138,C010138,12800,PERSONAL,A,8.38,0.2,0,medium,low,medium,1
A010139,C010139,5000,PERSONAL,A,7.43,0.08,0,small,low,low,1
A010140,C010140,12500,VENTURE,A,6.03,0.19,0,medium,low,low,1
A010141,C010141,5500,MEDICAL,A,6.03,0.08,0,medium,low,low,1
A010142,C010142,3600,HOMEIMPROVEMENT,C,13.49,0.06,0,small,medium,low,3
A010143,C010143,9600,EDUCATION,B,10.37,0.33,1,medium,medium,medium,2
A010144,C010144,4000,VENTURE,B,10.99,0.06,0,small,medium,low,2
A010145,C010145,5000,DEBTCONSOLIDATION,B,9.99,0.08,0,small,low,low,2
A010146,C010146,9600,VENTURE,C,,0.29,0,medium,,medium,3
A010147,C010147,9600,MEDICAL,B,9.88,0.28,0,medium,low,medium,2
A010148,C010148,4500,MEDICAL,A,6.92,0.07,0,small,low,low,1
A010149,C010149,6500,EDUCATION,A,,0.1,0,medium,,low,1
A010150,C010150,6500,MEDICAL,B,9.25,0.1,0,medium,low,low,2
A010151,C010151,20000,HOMEIMPROVEMENT,B,10.36,0.31,0,medium,medium,medium,2
A010152,C010152,9600,MEDICAL,A,7.88,0.28,0,medium,low,medium,1
A010153,C010153,9600,DEBTCONSOLIDATION,D,16.02,0.28,1,medium,high,medium,4
A010154,C010154,9600,PERSONAL,G,19.16,0.28,1,medium,high,medium,7
A010155,C010155,9600,VENTURE,B,9.91,0.27,0,medium,low,medium,2
A010156,C010156,15000,PERSONAL,A,7.88,0.23,0,medium,low,medium,1
A010157,C010157,9600,EDUCATION,B,11.99,0.27,0,medium,medium,medium,2
A010158,C010158,9600,VENTURE,B,11.89,0.27,0,medium,medium,medium,2
A010159,C010159,1500,MEDICAL,A,7.88,0.02,0,small,low,low,1
A010160,C010160,9600,MEDICAL,D,14.91,0.32,1,medium,medium,medium,4
